,Label,Section Name,Section Number,Question Number,Column,Type of Variable,SAS Variable Name,Question Prologue,Valid Values,Question,Core Section Number,Module Number
SDNATES1,How long since you had stool DNA,Colorectal Cancer Screening,,13,222,Num,SDNATES1,Question:  How long has it been since you had this test?,"{'1': {'Value Label': 'Within the past year (anytime less than 12 months ago)', 'Frequency': '4,798', 'Percentage': '42.23', 'Weighted Percentage': '43.15'}, '2': {'Value Label': 'Within the past 2 years (1 year but less than 2 years ago)', 'Frequency': '2,230', 'Percentage': '19.63', 'Weighted Percentage': '21.05'}, '3': {'Value Label': 'Within the past 3 years (2 years but less than 3 years ago)', 'Frequency': '1,378', 'Percentage': '12.13', 'Weighted Percentage': '11.59'}, '4': {'Value Label': 'Within the past 5 years (3 years but less than 5 years ago)', 'Frequency': '1,102', 'Percentage': '9.70', 'Weighted Percentage': '9.05'}, '5': {'Value Label': '5 or more years ago', 'Frequency': '1,300', 'Percentage': '11.44', 'Weighted Percentage': '9.95'}, '7': {'Value Label': 'Don\x92t know/Not sure', 'Frequency': '510', 'Percentage': '4.49', 'Weighted Percentage': '4.57'}, '9': {'Value Label': 'Refused', 'Frequency': '44', 'Percentage': '0.39', 'Weighted Percentage': '0.64'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: Section 08.01, AGE, is less than 45; or Section 112.06, COLNCNCR, is coded 2, 7, 9 or missing; or Section 11.11, STOOLDN2, is coded 2, 7, 9 or missing', 'Frequency': '433,770', 'Percentage': '.', 'Weighted Percentage': '.'}}",,11,
SMOKE100,Smoked at Least 100 Cigarettes,Tobacco Use,,1,223,Num,SMOKE100,Question:  Have you smoked at least 100 cigarettes in your entire life?   [Note:  5 packs = 100 cigarettes],"{'1': {'Value Label': 'Yes', 'Frequency': '164,217', 'Percentage': '39.73', 'Weighted Percentage': '36.76'}, '2': {'Value Label': 'No\x97Go to Section 12.03 USENOW3', 'Frequency': '245,955', 'Percentage': '59.50', 'Weighted Percentage': '62.41'}, '7': {'Value Label': 'Don\x92t know/Not Sure\x97Go to Section 12.03 USENOW3', 'Frequency': '2,297', 'Percentage': '0.56', 'Weighted Percentage': '0.56'}, '9': {'Value Label': 'Refused\x97Go to Section 12.03 USENOW3', 'Frequency': '886', 'Percentage': '0.21', 'Weighted Percentage': '0.27'}, 'BLANK': {'Value Label': 'Not asked or Missing', 'Frequency': '31,777', 'Percentage': '.', 'Weighted Percentage': '.'}}",,12,
SMOKDAY2,Frequency of Days Now Smoking,Tobacco Use,,2,224,Num,SMOKDAY2,"Question:  Do you now smoke cigarettes every day, some days, or not at all?","{'1': {'Value Label': 'Every day', 'Frequency': '36,003', 'Percentage': '21.95', 'Weighted Percentage': '24.09'}, '2': {'Value Label': 'Some days', 'Frequency': '13,938', 'Percentage': '8.50', 'Weighted Percentage': '10.54'}, '3': {'Value Label': 'Not at all', 'Frequency': '113,774', 'Percentage': '69.35', 'Weighted Percentage': '65.15'}, '7': {'Value Label': 'Don´t Know/Not Sure', 'Frequency': '165', 'Percentage': '0.10', 'Weighted Percentage': '0.12'}, '9': {'Value Label': 'Refused', 'Frequency': '173', 'Percentage': '0.11', 'Weighted Percentage': '0.10'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: Section 12.01, SMOKE100, is coded 2, 7, 9, or Missing', 'Frequency': '281,079', 'Percentage': '.', 'Weighted Percentage': '.'}}",,12,
USENOW3,Use of Smokeless Tobacco Products,Tobacco Use,,3,225,Num,USENOW3,"Question:  Do you currently use chewing tobacco, snuff, or snus every day, some days, or not at all?  (Snus (Swedish for snuff) is a moist smokeless tobacco, usually sold in small pouches that are placed under the lip against the gum.)","{'1': {'Value Label': 'Every day', 'Frequency': '7,333', 'Percentage': '1.78', 'Weighted Percentage': '1.68'}, '2': {'Value Label': 'Some days', 'Frequency': '5,358', 'Percentage': '1.30', 'Weighted Percentage': '1.51'}, '3': {'Value Label': 'Not at all', 'Frequency': '398,616', 'Percentage': '96.63', 'Weighted Percentage': '96.38'}, '7': {'Value Label': 'Don\x92t know/Not Sure', 'Frequency': '353', 'Percentage': '0.09', 'Weighted Percentage': '0.13'}, '9': {'Value Label': 'Refused', 'Frequency': '872', 'Percentage': '0.21', 'Weighted Percentage': '0.30'}, 'BLANK': {'Value Label': 'Not asked or Missing', 'Frequency': '32,600', 'Percentage': '.', 'Weighted Percentage': '.'}}",,12,
ECIGNOW2,"Do you now use e-cigarettes, or vaping products every day, some days, or not at all?",Tobacco Use,,4,226,Num,ECIGNOW2,"Question:  Would you say you have never used e-cigarettes or other electronic vaping products in your entire life or now use them every day, use them some days, or used them in the past but do not currently use them at all?","{'1': {'Value Label': 'Never used e-cigarettes in your entire life', 'Frequency': '311,988', 'Percentage': '75.81', 'Weighted Percentage': '70.26'}, '2': {'Value Label': 'Use them every day', 'Frequency': '10,382', 'Percentage': '2.52', 'Weighted Percentage': '3.42'}, '3': {'Value Label': 'Use them some days', 'Frequency': '11,734', 'Percentage': '2.85', 'Weighted Percentage': '4.01'}, '4': {'Value Label': 'Not at all (right now)', 'Frequency': '75,368', 'Percentage': '18.31', 'Weighted Percentage': '21.64'}, '7': {'Value Label': 'Don\x92t know / Not sure', 'Frequency': '905', 'Percentage': '0.22', 'Weighted Percentage': '0.27'}, '9': {'Value Label': 'Refused', 'Frequency': '1,176', 'Percentage': '0.29', 'Weighted Percentage': '0.40'}, 'BLANK': {'Value Label': 'Not asked or Missing', 'Frequency': '33,579', 'Percentage': '.', 'Weighted Percentage': '.'}}",,12,
LCSFIRST,How old when you first started smoking?,Lung Cancer Screening,,1,227-229,Num,LCSFIRST,Question:  How old were you when you first started to smoke cigarettes regularly,"{'1 - 100': {'Value Label': 'Age in Years', 'Frequency': '153,326', 'Percentage': '94.81', 'Weighted Percentage': '94.89'}, '777': {'Value Label': 'Don\x92t know/Not Sure', 'Frequency': '2,877', 'Percentage': '1.78', 'Weighted Percentage': '1.80'}, '888': {'Value Label': 'Never smoked cigarettes regularly\x97Go to Section 13.04 LCSCTSC1', 'Frequency': '4,858', 'Percentage': '3.00', 'Weighted Percentage': '2.89'}, '999': {'Value Label': 'Refused', 'Frequency': '654', 'Percentage': '0.40', 'Weighted Percentage': '0.41'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: Section 12.01, SMOKE100, is coded 2, 7, 9, or Missing; or Section 12.02, SMOKDAY2, is coded 7, 9, or Missing;', 'Frequency': '283,417', 'Percentage': '.', 'Weighted Percentage': '.'}}",,13,
LCSLAST,How old when you last smoked?,Lung Cancer Screening,,2,230-232,Num,LCSLAST,Question:  How old were you when you last smoked cigarettes regularly?,"{'1 - 100': {'Value Label': 'Age in Years', 'Frequency': '115,158', 'Percentage': '95.47', 'Weighted Percentage': '95.46'}, '777': {'Value Label': 'Don\x92t know/Not Sure', 'Frequency': '4,619', 'Percentage': '3.83', 'Weighted Percentage': '3.76'}, '999': {'Value Label': 'Refused', 'Frequency': '842', 'Percentage': '0.70', 'Weighted Percentage': '0.78'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: Section 12.01, SMOKE100, is coded 2, 7, 9, or Missing; or Section 12.02, SMOKDAY2, is coded 1; or Module 13.01, LCSFIRST, is coded 888 or missing', 'Frequency': '324,513', 'Percentage': '.', 'Weighted Percentage': '.'}}",,13,
LCSNUMCG,"On average, how many cigarettes do you smoke each day?",Lung Cancer Screening,,3,233-235,Num,LCSNUMCG,"Question:  On average, when you {smoke/smoked} regularly, about how many cigarettes {do/did} you usually smoke each day?","{'0': {'Value Label': '', 'Frequency': '1', 'Percentage': '0.00', 'Weighted Percentage': '0.00'}, '1 - 300': {'Value Label': 'Number of cigarettes', 'Frequency': '150,246', 'Percentage': '96.23', 'Weighted Percentage': '96.21'}, '777': {'Value Label': 'Don\x92t know/Not Sure', 'Frequency': '5,167', 'Percentage': '3.31', 'Weighted Percentage': '3.24'}, '999': {'Value Label': 'Refused', 'Frequency': '726', 'Percentage': '0.46', 'Weighted Percentage': '0.56'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: Section 12.01, SMOKE100, is coded 2, 7, 9, or Missing; or Section 12.02, SMOKDAY2, is coded 7, 9, or Missing; or Module 09.01, LCSFIRST, is coded 888 or missing', 'Frequency': '288,992', 'Percentage': '.', 'Weighted Percentage': '.'}}",,13,
LCSCTSC1,Did you have a CT or CAT scan?,Lung Cancer Screening,,4,236,Num,LCSCTSC1,"The next question is about CT or CAT scans of your chest area. During this test, you lie flat on your back and are moved through an open, donut shaped x-ray machine.","{'1': {'Value Label': 'Yes', 'Frequency': '165,865', 'Percentage': '40.76', 'Weighted Percentage': '37.24'}, '2': {'Value Label': 'No\x97Go to Section 14.01 ALCDAY4', 'Frequency': '223,221', 'Percentage': '54.86', 'Weighted Percentage': '58.69'}, '7': {'Value Label': 'Don\x92t know/Not sure\x97Go to Section 14.01 ALCDAY4', 'Frequency': '16,876', 'Percentage': '4.15', 'Weighted Percentage': '3.78'}, '9': {'Value Label': 'Refused\x97Go to Section 14.01 ALCDAY4', 'Frequency': '960', 'Percentage': '0.24', 'Weighted Percentage': '0.30'}, 'BLANK': {'Value Label': 'Not asked or Missing', 'Frequency': '38,210', 'Percentage': '.', 'Weighted Percentage': '.'}}",Have you ever had a CT or CAT scan of your chest area?,13,
LCSSCNCR,Were any CT or CAT scans done to check for lung cancer?,Lung Cancer Screening,,5,237,Num,LCSSCNCR,Question:  Were any of the CT or CAT scans of your chest area done mainly to check or screen for lung cancer?,"{'1': {'Value Label': 'Yes', 'Frequency': '31,581', 'Percentage': '19.07', 'Weighted Percentage': '18.34'}, '2': {'Value Label': 'No\x97Go to Section 14.01 ALCDAY4', 'Frequency': '124,356', 'Percentage': '75.11', 'Weighted Percentage': '76.26'}, '7': {'Value Label': 'Don\x92t know/Not sure\x97Go to Section 14.01 ALCDAY4', 'Frequency': '9,512', 'Percentage': '5.74', 'Weighted Percentage': '5.32'}, '9': {'Value Label': 'Refused\x97Go to Section 14.01 ALCDAY4', 'Frequency': '126', 'Percentage': '0.08', 'Weighted Percentage': '0.07'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: Section 13.04, LCSTSC1, is coded 2, 7, 9 or missing', 'Frequency': '279,557', 'Percentage': '.', 'Weighted Percentage': '.'}}",,13,
LCSCTWHN,When did you have your most recent CT or CAT scan?,Lung Cancer Screening,,6,238,Num,LCSCTWHN,Question:  When did you have your most recent CT or CAT scan of your chest area mainly to check or screen for lung cancer?,"{'1': {'Value Label': 'Within the past year (anytime less than 12 months ago)', 'Frequency': '14,040', 'Percentage': '44.56', 'Weighted Percentage': '44.23'}, '2': {'Value Label': 'Within the past 2 years (1 year but less than 2 years)', 'Frequency': '4,292', 'Percentage': '13.62', 'Weighted Percentage': '13.86'}, '3': {'Value Label': 'Within the past 3 years (2 years but less than 3 years)', 'Frequency': '2,684', 'Percentage': '8.52', 'Weighted Percentage': '8.37'}, '4': {'Value Label': 'Within the past 5 years (3 years but less than 5 years)', 'Frequency': '3,227', 'Percentage': '10.24', 'Weighted Percentage': '10.67'}, '5': {'Value Label': 'Within the past 10 years (5 years but less than 10 years ago)', 'Frequency': '2,888', 'Percentage': '9.17', 'Weighted Percentage': '9.17'}, '6': {'Value Label': '10 or more years ago', 'Frequency': '3,152', 'Percentage': '10.00', 'Weighted Percentage': '9.22'}, '7': {'Value Label': 'Don\x92t know / Not sure', 'Frequency': '1,169', 'Percentage': '3.71', 'Weighted Percentage': '4.30'}, '9': {'Value Label': 'Refused', 'Frequency': '53', 'Percentage': '0.17', 'Weighted Percentage': '0.18'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: Section 13.04, LCSTSC1, is coded 2, 7, 9 or missing; or Section 13.05, LCSSCNCR, is coded 2, 7, 9 or missing', 'Frequency': '413,627', 'Percentage': '.', 'Weighted Percentage': '.'}}",,13,
ALCDAY4,Days in past 30 had alcoholic beverage,Alcohol Consumption,,1,239-241,Num,ALCDAY4,"Question:  During the past 30 days, how many days per week or per month did you have at least one drink of any alcoholic beverage?","{'101 - 199': {'Value Label': 'Days per week\nNotes: 1_ _ = Days per week', 'Frequency': '66,151', 'Percentage': '16.36', 'Weighted Percentage': '15.77'}, '201 - 299': {'Value Label': 'Days in past 30 days\nNotes: 2_ _ = Days in past 30', 'Frequency': '144,740', 'Percentage': '35.79', 'Weighted Percentage': '35.87'}, '777': {'Value Label': 'Don\x92t know/Not sure\x97Go to Section 15.01 FLUSHOT7', 'Frequency': '3,447', 'Percentage': '0.85', 'Weighted Percentage': '1.05'}, '888': {'Value Label': 'No drinks in past 30 days\x97Go to Section 15.01 FLUSHOT7', 'Frequency': '187,667', 'Percentage': '46.41', 'Weighted Percentage': '46.66'}, '999': {'Value Label': 'Refused\x97Go to Section 15.01 FLUSHOT7', 'Frequency': '2,364', 'Percentage': '0.58', 'Weighted Percentage': '0.66'}, 'BLANK': {'Value Label': 'Not asked or Missing', 'Frequency': '40,763', 'Percentage': '.', 'Weighted Percentage': '.'}}",,14,
AVEDRNK3,Avg alcoholic drinks per day in past 30,Alcohol Consumption,,2,242-243,Num,AVEDRNK3,"Question:  One drink is equivalent to a 12-ounce beer, a 5-ounce glass of wine, or a drink with one shot of liquor. During the past 30 days, on the days when you drank, about how many drinks did you drink on the average?  (A 40 ounce beer would count as 3 drinks, or a cocktail drink with 2 shots would count as 2 drinks.)","{'1 - 76': {'Value Label': 'Number of drinks\nNotes: _ _ Number of drinks', 'Frequency': '206,595', 'Percentage': '98.21', 'Weighted Percentage': '97.58'}, '88': {'Value Label': 'None', 'Frequency': '1,165', 'Percentage': '0.55', 'Weighted Percentage': '0.67'}, '77': {'Value Label': 'Don\x92t know/Not sure', 'Frequency': '2,143', 'Percentage': '1.02', 'Weighted Percentage': '1.48'}, '99': {'Value Label': 'Refused', 'Frequency': '460', 'Percentage': '0.22', 'Weighted Percentage': '0.27'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: Section 14.01, ALCDAY4, is coded 888, 777, or 999;', 'Frequency': '234,769', 'Percentage': '.', 'Weighted Percentage': '.'}}",,14,
DRNK3GE5,Binge Drinking,Alcohol Consumption,,3,244-245,Num,DRNK3GE5,"Question:  Considering all types of alcoholic beverages, how many times during the past 30 days did you have 5 or more drinks for men or 4 or more drinks for women on an occasion?","{'1 - 76': {'Value Label': 'Number of Times', 'Frequency': '56,916', 'Percentage': '27.12', 'Weighted Percentage': '31.20'}, '88': {'Value Label': 'None', 'Frequency': '149,447', 'Percentage': '71.22', 'Weighted Percentage': '66.55'}, '77': {'Value Label': 'Don\x92t know/Not Sure', 'Frequency': '2,940', 'Percentage': '1.40', 'Weighted Percentage': '1.91'}, '99': {'Value Label': 'Refused', 'Frequency': '546', 'Percentage': '0.26', 'Weighted Percentage': '0.34'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: Section 14.01, ALCDAY4, is coded 888, 777, or 999;', 'Frequency': '235,283', 'Percentage': '.', 'Weighted Percentage': '.'}}",,14,
MAXDRNKS,Most drinks on single occasion past 30 days,Alcohol Consumption,,4,246-247,Num,MAXDRNKS,"Question:  During the past 30 days, what is the largest number of drinks you had on any occasion?","{'0': {'Value Label': '', 'Frequency': '4', 'Percentage': '0.00', 'Weighted Percentage': '0.00'}, '1 - 76': {'Value Label': 'Number of drinks', 'Frequency': '202,765', 'Percentage': '96.83', 'Weighted Percentage': '95.86'}, '77': {'Value Label': 'Don\x92t know/Not sure', 'Frequency': '5,592', 'Percentage': '2.67', 'Weighted Percentage': '3.55'}, '99': {'Value Label': 'Refused', 'Frequency': '1,050', 'Percentage': '0.50', 'Weighted Percentage': '0.59'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: Section 14.01, ALCDAY4, is coded 888, 777, or 999;', 'Frequency': '235,721', 'Percentage': '.', 'Weighted Percentage': '.'}}",,14,
FLUSHOT7,Adult flu shot/spray past 12 mos,Immunization,,1,248,Num,FLUSHOT7,"Question:  During the past 12 months, have you had either flu vaccine that was sprayed in your nose or flu shot injected into your arm?","{'1': {'Value Label': 'Yes', 'Frequency': '209,256', 'Percentage': '52.11', 'Weighted Percentage': '44.53'}, '2': {'Value Label': 'No\x97Go to Section 15.03 PNEUVAC4', 'Frequency': '188,755', 'Percentage': '47.01', 'Weighted Percentage': '54.46'}, '7': {'Value Label': 'Don\x92t know/Not Sure\x97Go to Section 15.03 PNEUVAC4', 'Frequency': '2,455', 'Percentage': '0.61', 'Weighted Percentage': '0.69'}, '9': {'Value Label': 'Refused\x97Go to Section 15.03 PNEUVAC4', 'Frequency': '1,073', 'Percentage': '0.27', 'Weighted Percentage': '0.32'}, 'BLANK': {'Value Label': '', 'Frequency': '43,593', 'Percentage': '.', 'Weighted Percentage': '.'}}",,15,
FLSHTMY3,When did you receive your most recent seasonal flu shot/spray?,Immunization,,2,249-254,Num,FLSHTMY3,Question:  During what month and year did you receive your most recent flu vaccine that was sprayed in your nose or flu shot injected into your arm?,"{'12021 - 122022': {'Value Label': 'Month / Year', 'Frequency': '189,723', 'Percentage': '90.83', 'Weighted Percentage': '89.08'}, '777777': {'Value Label': 'Don\x92t know/Not Sure', 'Frequency': '18,541', 'Percentage': '8.88', 'Weighted Percentage': '10.56'}, '999999': {'Value Label': 'Refused', 'Frequency': '605', 'Percentage': '0.29', 'Weighted Percentage': '0.36'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: Section 15.01, FLUSHOT7, is coded 2, 7, or 9', 'Frequency': '236,263', 'Percentage': '.', 'Weighted Percentage': '.'}}",,15,
PNEUVAC4,Pneumonia shot ever,Immunization,,3,255,Num,PNEUVAC4,Question:  Have you ever had a pneumonia shot also known as a pneumococcal vaccine?,"{'1': {'Value Label': 'Yes', 'Frequency': '152,488', 'Percentage': '38.08', 'Weighted Percentage': '29.59'}, '2': {'Value Label': 'No', 'Frequency': '215,604', 'Percentage': '53.85', 'Weighted Percentage': '60.53'}, '7': {'Value Label': 'Don\x92t know/Not Sure', 'Frequency': '31,387', 'Percentage': '7.84', 'Weighted Percentage': '9.59'}, '9': {'Value Label': 'Refused', 'Frequency': '921', 'Percentage': '0.23', 'Weighted Percentage': '0.28'}, 'BLANK': {'Value Label': 'Not asked or Missing', 'Frequency': '44,732', 'Percentage': '.', 'Weighted Percentage': '.'}}",,15,
TETANUS1,Received Tetanus Shot Since 2005?,Immunization,,4,256,Num,TETANUS1,"Question:  Have you received a tetanus shot in the past 10 years?  (If yes, ask: Was this Tdap, the tetanus shot that also has pertussis or whooping cough vaccine?)","{'1': {'Value Label': 'Yes, received Tdap', 'Frequency': '99,943', 'Percentage': '25.00', 'Weighted Percentage': '24.55'}, '2': {'Value Label': 'Yes, received tetanus shot, but not Tdap', 'Frequency': '27,455', 'Percentage': '6.87', 'Weighted Percentage': '6.30'}, '3': {'Value Label': 'Yes, received tetanus shot but not sure what type', 'Frequency': '113,725', 'Percentage': '28.45', 'Weighted Percentage': '26.62'}, '4': {'Value Label': 'No, did not receive any tetanus shot in the past 10 years', 'Frequency': '121,493', 'Percentage': '30.39', 'Weighted Percentage': '32.56'}, '7': {'Value Label': 'Don\x92t know/Not Sure', 'Frequency': '36,165', 'Percentage': '9.05', 'Weighted Percentage': '9.64'}, '9': {'Value Label': 'Refused', 'Frequency': '968', 'Percentage': '0.24', 'Weighted Percentage': '0.33'}, 'BLANK': {'Value Label': 'Not asked or Missing', 'Frequency': '45,383', 'Percentage': '.', 'Weighted Percentage': '.'}}",,15,
HIVTST7,Ever tested H.I.V.,HIV/AIDS,,1,257,Num,HIVTST7,"Question:  Including fluid testing from your mouth, but not including tests you may have had for blood donation, have you ever been tested for H.I.V?","{'1': {'Value Label': 'Yes', 'Frequency': '129,086', 'Percentage': '32.36', 'Weighted Percentage': '36.10'}, '2': {'Value Label': 'No\x97Go to Section 16.03 HIVRISK5', 'Frequency': '249,919', 'Percentage': '62.65', 'Weighted Percentage': '59.31'}, '7': {'Value Label': 'Don\x92t know/Not Sure\x97Go to Section 16.03 HIVRISK5', 'Frequency': '18,974', 'Percentage': '4.76', 'Weighted Percentage': '4.31'}, '9': {'Value Label': 'Refused\x97Go to Section 16.03 HIVRISK5', 'Frequency': '918', 'Percentage': '0.23', 'Weighted Percentage': '0.29'}, 'BLANK': {'Value Label': 'Not asked or Missing', 'Frequency': '46,235', 'Percentage': '.', 'Weighted Percentage': '.'}}",,16,
HIVTSTD3,Month and Year of Last HIV Test,HIV/AIDS,,2,258-263,Num,HIVTSTD3,"Question:  Not including blood donations, in what month and year was your last H.I.V. test?  (If response is before January 1985, code ´777777´.)","{'11985 - 122023': {'Value Label': 'Code month and year\nNotes: _ _/_ _ _ _  month and year', 'Frequency': '90,847', 'Percentage': '70.50', 'Weighted Percentage': '72.55'}, '777777': {'Value Label': 'Don\x92t know/Not sure', 'Frequency': '37,389', 'Percentage': '29.01', 'Weighted Percentage': '26.97'}, '999999': {'Value Label': 'Refused', 'Frequency': '627', 'Percentage': '0.49', 'Weighted Percentage': '0.48'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: Section 16.01, HIVTST7, is coded 2, 7, 9, or Missing', 'Frequency': '316,269', 'Percentage': '.', 'Weighted Percentage': '.'}}",,16,
HIVRISK5,Do Any High Risk Situations Apply,HIV/AIDS,,3,264,Num,HIVRISK5,"Question:  I am going to read you a list. When I am done, please tell me if any of the situations apply to you. You do not need to tell me which one. You have injected any drug other than those prescribed for you in the past year. You have been treated for a sexually transmitted disease or STD in the past year.  You have given or received money or drugs in exchange for sex in the past year.","{'1': {'Value Label': 'Yes', 'Frequency': '17,185', 'Percentage': '4.33', 'Weighted Percentage': '6.08'}, '2': {'Value Label': 'No', 'Frequency': '377,324', 'Percentage': '95.12', 'Weighted Percentage': '93.25'}, '7': {'Value Label': 'Don\x92t know/Not sure', 'Frequency': '450', 'Percentage': '0.11', 'Weighted Percentage': '0.14'}, '9': {'Value Label': 'Refused', 'Frequency': '1,712', 'Percentage': '0.43', 'Weighted Percentage': '0.53'}, 'BLANK': {'Value Label': 'Not asked or Missing', 'Frequency': '48,461', 'Percentage': '.', 'Weighted Percentage': '.'}}",,16,
COVIDPOS,Have you ever been told you tested positive for COVID 19?,Long-term COVID Effects,,1,265,Num,COVIDPOS,"Question:  Has a doctor, nurse, or other health professional ever told you that you tested positive for COVID 19?","{'1': {'Value Label': 'Yes', 'Frequency': '110,877', 'Percentage': '28.01', 'Weighted Percentage': '31.08'}, '2': {'Value Label': 'No\x97Go to next section', 'Frequency': '270,055', 'Percentage': '68.21', 'Weighted Percentage': '65.28'}, '3': {'Value Label': 'Tested positive using home test without health professional', 'Frequency': '13,436', 'Percentage': '3.39', 'Weighted Percentage': '3.17'}, '7': {'Value Label': 'Don\x92t know/Not Sure\x97Go to next section', 'Frequency': '647', 'Percentage': '0.16', 'Weighted Percentage': '0.18'}, '9': {'Value Label': 'Refused\x97Go to next section', 'Frequency': '882', 'Percentage': '0.22', 'Weighted Percentage': '0.28'}, 'BLANK': {'Value Label': 'Not asked or Missing', 'Frequency': '49,235', 'Percentage': '.', 'Weighted Percentage': '.'}}",,17,
COVIDSMP,Have an 3 month or longer covid symptoms?,Long-term COVID Effects,,2,266,Num,COVIDSMP,Question:  Did you have any symptoms lasting 3 months or longer that you did not have prior to having coronavirus or COVID-19?,"{'1': {'Value Label': 'Yes', 'Frequency': '26,783', 'Percentage': '21.56', 'Weighted Percentage': '21.42'}, '2': {'Value Label': 'No\x97Go to next section', 'Frequency': '94,596', 'Percentage': '76.16', 'Weighted Percentage': '76.63'}, '7': {'Value Label': 'Don\x92t know/Not Sure\x97Go to next section', 'Frequency': '2,710', 'Percentage': '2.18', 'Weighted Percentage': '1.87'}, '9': {'Value Label': 'Refused\x97Go to next section', 'Frequency': '110', 'Percentage': '0.09', 'Weighted Percentage': '0.09'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: Section 17.01, COVIDPOS, is coded 2, 7, 9, or Missing', 'Frequency': '320,933', 'Percentage': '.', 'Weighted Percentage': '.'}}",,17,
COVIDPRM,Which was the primary symptom that you experienced?,Long-term COVID Effects,,3,267-268,Num,COVIDPRM,Question:  Which of the following was the primary symptom that you experienced? Was it.,"{'1': {'Value Label': 'Tiredness or fatigue', 'Frequency': '7,072', 'Percentage': '26.47', 'Weighted Percentage': '25.10'}, '2': {'Value Label': 'Difficulty thinking or concentrating or forgetfulness/memory problems (sometimes referred to as ´brain fog´)', 'Frequency': '2,564', 'Percentage': '9.60', 'Weighted Percentage': '9.38'}, '3': {'Value Label': 'Difficulty breathing or shortness of breath', 'Frequency': '4,772', 'Percentage': '17.86', 'Weighted Percentage': '18.10'}, '4': {'Value Label': 'Joint or muscle pain', 'Frequency': '1,378', 'Percentage': '5.16', 'Weighted Percentage': '5.98'}, '5': {'Value Label': 'Fast-beating or pounding heart (also known as heart palpitations) or chest pain', 'Frequency': '724', 'Percentage': '2.71', 'Weighted Percentage': '2.80'}, '6': {'Value Label': 'Dizziness on standing', 'Frequency': '409', 'Percentage': '1.53', 'Weighted Percentage': '1.52'}, '7': {'Value Label': 'Depression, anxiety, or mood changes', 'Frequency': '322', 'Percentage': '1.21', 'Weighted Percentage': '1.36'}, '8': {'Value Label': 'Symptoms that get worse after physical or mental activities', 'Frequency': '243', 'Percentage': '0.91', 'Weighted Percentage': '0.87'}, '9': {'Value Label': 'You did not have any long-term symptoms that limited your activities.', 'Frequency': '1,353', 'Percentage': '5.06', 'Weighted Percentage': '4.99'}, '10': {'Value Label': 'Loss of taste or smell', 'Frequency': '4,234', 'Percentage': '15.85', 'Weighted Percentage': '16.34'}, '11': {'Value Label': 'Some other symptom', 'Frequency': '2,511', 'Percentage': '9.40', 'Weighted Percentage': '9.47'}, '77': {'Value Label': 'Don\x92t know/Not Sure', 'Frequency': '1,004', 'Percentage': '3.76', 'Weighted Percentage': '3.49'}, '99': {'Value Label': 'Refused', 'Frequency': '129', 'Percentage': '0.48', 'Weighted Percentage': '0.60'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: Section 17.01, COVIDPOS, is coded 2, 7, 9, or Missing; or Section 17.02, COVIDSMP, is coded 2, 7, 9, or Missing;', 'Frequency': '418,417', 'Percentage': '.', 'Weighted Percentage': '.'}}",,17,
